rest_id,zomato_url,name,city,area,rating,rating_count,telephone,cusine,cost_for_two,address,online_order,table_reservation,delivery_only,famous_food,longitude,latitude
74366,https://www.zomato.com/lucknow/good-bakery-nishatganj,Good Bakery,Lucknow,Nishatganj,4.0,279.0,0522 4000145 +91 9335912829,"Bakery, Fast Food",450.0,"Near Indira Bridge, Nishatganj, Lucknow",True,False,False,"Noodle , Fried Rice , Coffee",80.9565122053,26.8705508083
74385,https://www.zomato.com/lucknow/sepia-renaissance-lucknow-hotel-gomti-nagar,Sepia - Renaissance Lucknow Hotel,Lucknow,Gomti Nagar,4.1,223.0,080 45128594,Awadhi,1500.0,"Renaissance Lucknow Hotel, Vipin Khand, Gomti Nagar, Lucknow",False,True,False,"Warqi Parantha , Mutton Biryani , Chicken Tikka , Dahi Ke Kabab , Paneer Mirchi , Paneer Lahori , Tomato Soup",80.97348790619999,26.853250311100002
74403,https://www.zomato.com/lucknow/cake-n-cafe-aashiana,Cake 'n' Cafe,Lucknow,Aashiana,3.8,270.0,0522 4304555 +91 7991585855,"Fast Food, Bakery, Desserts",200.0,"M 249, LDA Colony, Sector G, Ashiyana, Near Power House Chauraha, Lucknow",True,True,False,Waffles,80.9084674716,26.7894448565
74420,https://www.zomato.com/lucknow/ram-asrey-hazratganj,Ram Asrey,Lucknow,Hazratganj,4.1,207.0,0522 4006000 +91 9454512700,"Mithai, Fast Food, Desserts",350.0,"43/48, Nawal Kishore Road, Near Leela Theatre, Hazratganj, Lucknow",True,False,False,"Malai Paan , Chaat , Aloo Tikki , Dhokla , Rasmalai , Basket Chat , Kulfi",80.9436664358,26.8500215412
74438,https://www.zomato.com/lucknow/nawabeens-awadhi-restaurant-lalbagh,Nawabeen's Awadhi Restaurant,Lucknow,Lalbagh,3.9,296.0,080 45128621,"Awadhi, North Indian, Mughlai",1200.0,"3, Quinton Road, Near Nishat Hospital, Lalbagh, Lucknow",True,True,False,"Biryani , Kulcha Nihari , Fish Tikka , Mutton Nihari , Paneer Tikka",80.9361311048,26.8502303342
74456,https://www.zomato.com/lucknow/sadda-adda-2-aliganj,Sadda Adda,Lucknow,Aliganj,2.2,345.0,00 917800666671,Fast Food,250.0,"LGF 96, Adarsh Complex, Engineering College Chauraha",True,False,False,Not available,80.9448375553,26.911200533899997
74477,https://www.zomato.com/lucknow/burger-point-2-aliganj,Burger Point,Lucknow,Aliganj,3.8,153.0,+91 9792000336,"Burger, Wraps, Sandwich, Beverages, Ice Cream",250.0,"B 2/363, Sector A, Sitapur Road Yojana, Engineering College, Chauraha, Aliganj, Lucknow",True,False,False,"Burgers , Sandwich , Fries , Cheese Burger",80.9437586365,26.9114615336
74495,https://www.zomato.com/lucknow/chef-69-gomti-nagar,Chef 69,Lucknow,Gomti Nagar,3.7,252.0,+91 9559254444 0522 4334334,"North Indian, Chinese, South Indian",800.0,"3/364, Vinamra Khand, Gomti Nagar, Lucknow",True,False,False,"Biryani , Butter Chicken , Shahi Paneer",81.0239305347,26.8625304926
74516,https://www.zomato.com/lucknow/the-ranch-1-gomti-nagar,The Ranch,Lucknow,Gomti Nagar,3.8,181.0,+91 8037971301,"North Indian, Italian, Chinese, American",1000.0,"Third Floor, One Awadh Mall, Vibhuti Khand, Gomti Nagar, Lucknow",False,True,False,"Mocktails , Pasta , Butter Chicken , Salad , Dahi Ke Kebab , Kadhai Paneer , Burgers",81.0111072287,26.8625612996
74536,https://www.zomato.com/lucknow/be-the-beer-season-2-gomti-nagar,Be The Beer Season 2,Lucknow,Gomti Nagar,4.5,137.0,+91 7897377700 +91 8887726470,"North Indian, Chinese, Italian, Mexican",1200.0,"19, 20, Rohtas Presidential Arcade, Vibhuti Khand, Gomti Nagar, Lucknow",False,True,False,"Mocktails , Beer , Pasta , Mojito , Pizza , Chicken Lasagne , Paneer Tikka",81.0078336668,26.8658689409
74554,https://www.zomato.com/lucknow/bercos-hazratganj,Berco's,Lucknow,Hazratganj,3.9,311.0,0522 4108888,"Chinese, Thai",500.0,"Food Court, 4th Floor, Sahara Ganj Mall, Shahnajaf Road, Hazratganj, Lucknow",True,False,False,"Noodle , Momos , Chilli Potatoes , Chicken Hot Garlic , Chilli Paneer , Chicken Hakka Noodles , Chicken Manchurian",80.9456603229,26.855555920700002
74575,https://www.zomato.com/lucknow/hotel-charminar-lalbagh,Hotel Charminar,Lucknow,Lalbagh,3.9,242.0,0522 2611102 +91 9415467568,Mughlai,550.0,"5, Near Novelty Cinema, Lalbagh Circle, Lalbagh, Lucknow",True,False,False,"Mutton Biryani , Mutton Stew , Bheja Fry , Chicken Masala , Tandoori Roti , Tandoori Chicken , Achari Gosht",80.93976717439999,26.8476272744
74594,https://www.zomato.com/lucknow/shere-e-punjab-aliganj,Shere E Punjab,Lucknow,Aliganj,3.8,359.0,+91 9455933300,North Indian,300.0,"Vivek Complex, Behind Novelty, Aliganj, Lucknow",False,False,False,"Paratha , Chole Kulche",80.9468606114,26.8821119107
74613,https://www.zomato.com/lucknow/mirage-lounge-hazratganj,Mirage Lounge,Lucknow,Hazratganj,3.6,344.0,+91 9519992229,"North Indian, Chinese",750.0,"3rd Floor, 5/5, Beside Avera Hospital, Park Road, Hazratganj, Lucknow",False,False,False,"Coffee , Noodle , Momos , Virgin Mojito , Fries , Mocktails , Pizza",80.9496048465,26.843522741799998
74630,https://www.zomato.com/lucknow/dosa-planet-alambagh,Dosa Planet,Lucknow,Alambagh,3.9,308.0,+91 7800997744,South Indian,250.0,"Food Court, 4th Floor, Phoenix United Mall, Alambagh, Lucknow",True,False,False,"Paneer Chilli Dosa , Mysore Masala Dosa , Cheese Dosa , Rava Kesari , Deluxe Thali , Schezwan Dosa , Idli Sambar",80.897013098,26.7984989325
74651,https://www.zomato.com/lucknow/dabbu-veg-1-rajajipuram,Dabbu Veg,Lucknow,Rajajipuram,4.0,187.0,+91 9335085346,"North Indian, Chinese",150.0,"Alamnagar Mohan Road, Nurbari, Rajajipuram, Lucknow",True,False,False,Not available,80.890916,26.853908
74668,https://www.zomato.com/lucknow/parathas-gomti-nagar,Paratha's,Lucknow,Gomti Nagar,3.9,287.0,+91 9651631111 0522 4244647,"Chinese, Fast Food, North Indian",200.0,"Vivekhand 4, Gomti Nagar, Lucknow",True,False,False,"Paratha , Pizza Parantha , Chole , Cucumber Raita , Fried Rice , Paneer Parantha , Kadhai Paneer",80.9980928153,26.854695959
74689,https://www.zomato.com/lucknow/bff-boisson-food-factory-gomti-nagar,BFF: Boisson Food Factory,Lucknow,Gomti Nagar,3.7,198.0,+91 8840548016 +91 7380598065,"Cafe, Chinese, Pizza, Fast Food",400.0,"3/85, Patrakar Puram, Vinay Khand 3, Patrakar Puram, Gomti Nagar, Lucknow",True,False,False,"Maggi , Volcano Pizza , Momos , Pasta , Burgers , Chicken Momo",81.0018147156,26.853193776999998
74712,https://www.zomato.com/lucknow/new-jone-hing-chinese-restaurant-hazratganj,New Jone Hing Chinese Restaurant,Lucknow,Hazratganj,3.8,288.0,+91 9369687324 +91 9335711772,Chinese,550.0,"77, Opposite Senco Jewellers, MG Marg, Hazratganj, Lucknow",False,False,False,"Chilli Chicken , Mutton Chilli , Noodle , Chowmein , Peking Soup , Chilli Garlic Noodles",80.9456546232,26.8473048043
74729,https://www.zomato.com/lucknow/swaggers-gomti-nagar,Swaggers,Lucknow,Gomti Nagar,4.1,255.0,+91 7275138185,"North Indian, Chinese, South Indian",500.0,"3/25, Vinamra Khand, Near Old Amity School, Gomti Nagar",True,True,False,"Paneer Tikka , Paneer Lababdar , Chicken Tikka Masala , Biryani",81.0242701694,26.8602438686
